nz	dist
0.713234	0.932615
0.682971	1.282993
0.64804	1.77638
0.609713	2.467616
0.573465	3.287783
0.529545	4.528625
0.480467	6.296034
0.434317	8.396036
0.385236	11.204294
0.333859	14.904886
0.28852	19.003529
0.238718	24.583523
0.18838	31.800229
0.147356	39.324134
0.109633	47.908044
0.076887	57.299413
0.053195	65.733855
0.03294	74.940491
0.01789	83.445146
0.009594	89.582481
0.004337	94.146352
0.001709	97.298899
0.000627	98.884598
0.00019	99.584759
0.000035	99.870233
0.000005	99.980372
0.000001	99.908556
0	100.009421
0	100.014109
0	99.991833
0	99.893306
