nz075	d075	nz100	d100	nz125	d125	nz150	d150
0.5650	1.1874	0.6371	1.0923	0.6828	1.0037	0.7132	0.9326
0.5322	1.5644	0.6044	1.4695	0.6512	1.3682	0.6830	1.2830
0.4963	2.0731	0.5679	1.9856	0.6152	1.8771	0.6480	1.7764
0.4593	2.7407	0.5292	2.6829	0.5763	2.5792	0.6097	2.4676
0.4255	3.5054	0.4930	3.5024	0.5398	3.4055	0.5735	3.2878
0.3875	4.5777	0.4515	4.6741	0.4965	4.6266	0.5295	4.5286
0.3469	6.0393	0.4062	6.3066	0.4487	6.3485	0.4805	6.2960
0.3110	7.6664	0.3650	8.1764	0.4044	8.3636	0.4343	8.3960
0.2749	9.7363	0.3230	10.5820	0.3582	11.0091	0.3852	11.2043
0.2387	12.3294	0.2800	13.6703	0.3104	14.4461	0.3339	14.9049
0.2084	15.0761	0.2431	17.0007	0.2688	18.2101	0.2885	19.0035
0.1762	18.6783	0.2036	21.4366	0.2236	23.2749	0.2387	24.5835
0.1448	23.1714	0.1647	27.0083	0.1783	29.7540	0.1884	31.8002
0.1193	27.8435	0.1331	32.7905	0.1417	36.4701	0.1474	39.3241
0.0959	33.1786	0.1041	39.3951	0.1080	44.1525	0.1096	47.9080
0.0750	39.1769	0.0783	46.7960	0.0784	52.6364	0.0769	57.2994
0.0589	44.8703	0.0591	53.6535	0.0567	60.3801	0.0532	65.7339
0.0441	51.6676	0.0416	61.6216	0.0375	69.1080	0.0329	74.9405
0.0311	58.9759	0.0271	69.8452	0.0224	77.6543	0.0179	83.4451
0.0223	65.4988	0.0178	76.7001	0.0133	84.3426	0.0096	89.5825
0.0151	71.9464	0.0108	82.9292	0.0071	89.8347	0.0043	94.1464
0.0100	77.9714	0.0062	88.3283	0.0034	94.1601	0.0017	97.2989
0.0066	82.9108	0.0035	92.2241	0.0016	96.7762	0.0006	98.8846
0.0040	87.4386	0.0018	95.2095	0.0006	98.4437	0.0002	99.5848
0.0022	91.4374	0.0007	97.4793	0.0002	99.3792	0.0000	99.8702
0.0012	94.1680	0.0003	98.6839	0.0001	99.7854	0.0000	99.9804
0.0006	96.2816	0.0001	99.3183	0.0000	99.8549	0.0000	99.9086
0.0003	97.8627	0.0000	99.7709	0.0000	99.9888	0.0000	100.0094
0.0001	98.7826	0.0000	99.9144	0.0000	100.0091	0.0000	100.0141
0.0001	99.2743	0.0000	99.9572	0.0000	99.9848	0.0000	99.9918
0.0000	99.5638	0.0000	99.8579	0.0000	99.8815	0.0000	99.8933
