qp	jnz075	jh075	jnz100	jh100	jnz125	jh125	jnz150	jh150
20	29.87	130.23	33.44	136.66	35.66	139.54	37.14	140.83
21	28.58	123.30	32.15	129.67	34.43	132.54	35.95	133.83
22	27.27	116.35	30.82	122.67	33.11	125.54	34.67	126.85
23	26.06	109.55	29.55	115.85	31.83	118.72	33.42	120.05
24	25.10	103.84	28.53	110.11	30.81	113.07	32.40	114.44
25	24.25	97.85	27.60	104.15	29.83	107.20	31.41	108.67
26	23.65	92.02	26.93	98.40	29.13	101.63	30.69	103.26
27	23.45	87.32	26.70	93.82	28.89	97.29	30.44	99.16
28	23.69	83.09	26.98	89.81	29.19	93.57	30.76	95.77
29	24.45	79.36	27.88	86.38	30.20	90.58	31.85	93.27
30	25.65	76.83	29.34	84.15	31.85	88.79	33.65	91.96
31	27.62	74.68	31.77	82.39	34.62	87.58	36.70	91.35
32	30.52	73.38	35.37	81.57	38.81	87.31	41.36	91.68
33	33.90	73.01	39.55	81.70	43.66	87.89	46.80	92.68
34	38.05	73.48	44.68	82.60	49.63	89.11	53.47	94.09
35	42.98	74.69	50.77	84.12	56.62	90.75	61.20	95.62
36	47.86	76.28	56.65	85.89	63.26	92.38	68.43	96.89
37	53.91	78.84	63.73	88.38	71.01	94.44	76.61	98.27
38	60.56	81.71	71.22	90.87	78.79	96.16	84.35	99.11
39	66.63	84.64	77.60	93.20	85.02	97.64	90.07	99.79
40	72.71	87.43	83.47	95.04	90.19	98.47	94.37	99.82
41	78.48	90.38	88.64	96.88	94.33	99.33	97.39	100.08
42	83.24	92.71	92.40	98.06	96.86	99.76	98.92	100.12
43	87.64	94.73	95.30	98.86	98.48	99.89	99.59	100.06
44	91.55	96.51	97.52	99.39	99.39	99.92	99.87	99.98
45	94.23	97.71	98.70	99.72	99.79	99.99	99.98	100.00
46	96.31	98.54	99.32	99.78	99.86	99.90	99.91	99.91
47	97.88	99.21	99.77	99.95	99.99	100.00	100.01	100.01
48	98.79	99.58	99.92	99.99	100.01	100.01	100.01	100.01
49	99.28	99.73	99.96	99.97	99.98	99.98	99.99	99.99
50	99.56	99.76	99.86	99.86	99.88	99.88	99.89	99.89
