x	dct
-99.68	0.000039
-98.97	0.000038
-98.25	0.000041
-97.53	0.000041
-96.81	0.000043
-96.10	0.000044
-95.38	0.000039
-94.66	0.000044
-93.95	0.000046
-93.23	0.000050
-92.51	0.000051
-91.79	0.000052
-91.08	0.000054
-90.36	0.000046
-89.64	0.000055
-88.93	0.000058
-88.21	0.000059
-87.49	0.000060
-86.77	0.000063
-86.06	0.000065
-85.34	0.000067
-84.62	0.000057
-83.91	0.000073
-83.19	0.000073
-82.47	0.000075
-81.75	0.000078
-81.04	0.000080
-80.32	0.000082
-79.60	0.000087
-78.89	0.000076
-78.17	0.000093
-77.45	0.000094
-76.73	0.000098
-76.02	0.000100
-75.30	0.000102
-74.58	0.000107
-73.87	0.000090
-73.15	0.000110
-72.43	0.000114
-71.71	0.000119
-71.00	0.000122
-70.28	0.000126
-69.56	0.000130
-68.85	0.000134
-68.13	0.000119
-67.41	0.000141
-66.69	0.000145
-65.98	0.000149
-65.26	0.000156
-64.54	0.000161
-63.83	0.000168
-63.11	0.000171
-62.39	0.000152
-61.67	0.000184
-60.96	0.000191
-60.24	0.000195
-59.52	0.000206
-58.81	0.000215
-58.09	0.000224
-57.37	0.000195
-56.65	0.000236
-55.94	0.000249
-55.22	0.000256
-54.50	0.000266
-53.79	0.000278
-53.07	0.000290
-52.35	0.000297
-51.63	0.000262
-50.92	0.000321
-50.20	0.000337
-49.48	0.000350
-48.77	0.000363
-48.05	0.000377
-47.33	0.000396
-46.61	0.000351
-45.90	0.000418
-45.18	0.000445
-44.46	0.000460
-43.75	0.000482
-43.03	0.000504
-42.31	0.000526
-41.59	0.000548
-40.88	0.000491
-40.16	0.000600
-39.44	0.000627
-38.73	0.000655
-38.01	0.000692
-37.29	0.000722
-36.57	0.000755
-35.86	0.000790
-35.14	0.000711
-34.42	0.000871
-33.71	0.000920
-32.99	0.000967
-32.27	0.001017
-31.55	0.001071
-30.84	0.001128
-30.12	0.001024
-29.40	0.001241
-28.69	0.001315
-27.97	0.001385
-27.25	0.001471
-26.53	0.001558
-25.82	0.001651
-25.10	0.001755
-24.38	0.001605
-23.67	0.001978
-22.95	0.002089
-22.23	0.002246
-21.51	0.002401
-20.80	0.002568
-20.08	0.002742
-19.36	0.002564
-18.65	0.003157
-17.93	0.003405
-17.21	0.003693
-16.49	0.003989
-15.78	0.004356
-15.06	0.004729
-14.34	0.005157
-13.63	0.004974
-12.91	0.006205
-12.19	0.006899
-11.47	0.007707
-10.76	0.008648
-10.04	0.009740
-9.32	0.011054
-8.61	0.012582
-7.89	0.012909
-7.17	0.016570
-6.45	0.019286
-5.74	0.023173
-5.02	0.028095
-4.30	0.034886
-3.59	0.044358
-2.87	0.051679
-2.15	0.070125
-1.43	0.086376
-0.72	0.101009
0.00	0.107763
0.72	0.101065
1.43	0.086759
2.15	0.070688
2.87	0.052324
3.59	0.044951
4.30	0.035289
5.02	0.028449
5.74	0.023358
6.45	0.019409
7.17	0.016636
7.89	0.012937
8.61	0.012545
9.32	0.011030
10.04	0.009704
10.76	0.008591
11.47	0.007648
12.19	0.006846
12.91	0.006133
13.63	0.004930
14.34	0.005081
15.06	0.004657
15.78	0.004273
16.49	0.003891
17.21	0.003614
17.93	0.003336
18.65	0.003080
19.36	0.002516
20.08	0.002687
20.80	0.002501
21.51	0.002351
22.23	0.002202
22.95	0.002053
23.67	0.001941
24.38	0.001594
25.10	0.001711
25.82	0.001625
26.53	0.001526
27.25	0.001442
27.97	0.001363
28.69	0.001306
29.40	0.001226
30.12	0.001004
30.84	0.001109
31.55	0.001056
32.27	0.000995
32.99	0.000946
33.71	0.000898
34.42	0.000863
35.14	0.000703
35.86	0.000788
36.57	0.000753
37.29	0.000716
38.01	0.000688
38.73	0.000656
39.44	0.000629
40.16	0.000598
40.88	0.000484
41.59	0.000552
42.31	0.000530
43.03	0.000507
43.75	0.000487
44.46	0.000467
45.18	0.000450
45.90	0.000432
46.61	0.000356
47.33	0.000404
48.05	0.000381
48.77	0.000370
49.48	0.000354
50.20	0.000340
50.92	0.000325
51.63	0.000266
52.35	0.000302
53.07	0.000291
53.79	0.000284
54.50	0.000271
55.22	0.000259
55.94	0.000254
56.65	0.000244
57.37	0.000198
58.09	0.000229
58.81	0.000221
59.52	0.000211
60.24	0.000205
60.96	0.000197
61.67	0.000192
62.39	0.000157
63.11	0.000185
63.83	0.000173
64.54	0.000171
65.26	0.000163
65.98	0.000159
66.69	0.000155
67.41	0.000148
68.13	0.000121
68.85	0.000142
69.56	0.000135
70.28	0.000133
71.00	0.000129
71.71	0.000125
72.43	0.000121
73.15	0.000117
73.87	0.000094
74.58	0.000111
75.30	0.000108
76.02	0.000104
76.73	0.000102
77.45	0.000097
78.17	0.000095
78.89	0.000078
79.60	0.000089
80.32	0.000088
81.04	0.000086
81.75	0.000084
82.47	0.000080
83.19	0.000078
83.91	0.000076
84.62	0.000062
85.34	0.000071
86.06	0.000071
86.77	0.000068
87.49	0.000067
88.21	0.000065
88.93	0.000063
89.64	0.000061
90.36	0.000049
91.08	0.000060
91.79	0.000058
92.51	0.000054
93.23	0.000055
93.95	0.000053
94.66	0.000052
95.38	0.000042
96.10	0.000049
96.81	0.000047
97.53	0.000047
98.25	0.000045
98.97	0.000045
99.68	0.000043
