x	b1
-99.736565	0.00011
-98.95739	0.000113
-98.178215	0.000119
-97.398979	0.000121
-96.619804	0.000117
-95.84063	0.000119
-95.061455	0.000115
-94.282219	0.000121
-93.503044	0.000124
-92.723869	0.000122
-91.944633	0.00013
-91.165459	0.000135
-90.386284	0.000135
-89.607109	0.000138
-88.827873	0.000133
-88.048698	0.00015
-87.269524	0.000139
-86.490288	0.000151
-85.711113	0.000156
-84.931938	0.000156
-84.152763	0.000163
-83.373528	0.000172
-82.594353	0.000178
-81.815178	0.000175
-81.035942	0.000181
-80.256767	0.000187
-79.477592	0.000194
-78.698418	0.000207
-77.919182	0.000213
-77.140007	0.000199
-76.360832	0.000226
-75.581657	0.000212
-74.802422	0.000237
-74.023247	0.000244
-73.244072	0.000252
-72.464836	0.000248
-71.685661	0.000266
-70.906487	0.000268
-70.127312	0.000274
-69.348076	0.000298
-68.568901	0.00028
-67.789726	0.000296
-67.01049	0.000314
-66.231316	0.000312
-65.452141	0.000335
-64.672966	0.000349
-63.89373	0.00036
-63.114555	0.000369
-62.335381	0.000383
-61.556206	0.000396
-60.77697	0.000407
-59.997795	0.000433
-59.21862	0.000445
-58.439384	0.000459
-57.66021	0.000476
-56.881035	0.0005
-56.10186	0.000521
-55.322624	0.000547
-54.543449	0.000571
-53.764275	0.000573
-52.985039	0.00061
-52.205864	0.000642
-51.426689	0.00065
-50.647514	0.000682
-49.868279	0.000706
-49.089104	0.000681
-48.309929	0.000778
-47.530693	0.000761
-46.751518	0.000807
-45.972343	0.000851
-45.193169	0.00086
-44.413933	0.000871
-43.634758	0.000945
-42.855583	0.000941
-42.076408	0.000987
-41.297173	0.001072
-40.517998	0.001045
-39.738823	0.001105
-38.959587	0.001209
-38.180412	0.001219
-37.401237	0.001271
-36.622063	0.001381
-35.842827	0.001414
-35.063652	0.001462
-34.284477	0.001608
-33.505241	0.001597
-32.726067	0.001681
-31.946892	0.001884
-31.167717	0.001827
-30.388481	0.002055
-29.609306	0.002053
-28.830132	0.002165
-28.050896	0.002364
-27.271721	0.002353
-26.492546	0.002478
-25.713371	0.002701
-24.934135	0.002698
-24.154961	0.002848
-23.375786	0.003151
-22.596611	0.003196
-21.817375	0.003336
-21.0382	0.003666
-20.259026	0.003748
-19.47979	0.003999
-18.700615	0.004514
-17.92144	0.004614
-17.142265	0.005003
-16.363029	0.005684
-15.583854	0.005899
-14.804679	0.006553
-14.025443	0.007573
-13.246268	0.008063
-12.467093	0.009034
-11.687919	0.010491
-10.908683	0.011671
-10.129508	0.013145
-9.350333	0.015485
-8.571158	0.017276
-7.791923	0.019778
-7.012748	0.023304
-6.233573	0.026211
-5.454337	0.030221
-4.675162	0.03614
-3.895988	0.040994
-3.116813	0.047833
-2.337577	0.056796
-1.558402	0.063778
-0.779227	0.070905
9E-06	0.074486
0.779183	0.066964
1.558358	0.058368
2.337533	0.050667
3.116769	0.042177
3.895944	0.035567
4.675118	0.031166
5.454354	0.026022
6.233529	0.022423
7.012704	0.020014
7.791879	0.016841
8.571115	0.014679
9.350289	0.013331
10.129464	0.011393
10.908639	0.010159
11.687875	0.009295
12.46705	0.008094
13.246224	0.007308
14.02546	0.006928
14.804635	0.006085
15.58381	0.005562
16.362984	0.005304
17.14222	0.004755
17.921394	0.004456
18.700569	0.004324
19.479805	0.003911
20.25898	0.003673
21.038155	0.003657
21.817329	0.003325
22.596565	0.003107
23.37574	0.003134
24.154915	0.002853
24.934151	0.002662
25.713326	0.002717
26.4925	0.002432
27.271675	0.002334
28.050911	0.002334
28.830086	0.00209
29.609261	0.002016
30.388435	0.001982
31.167671	0.001813
31.946846	0.001811
32.726021	0.001626
33.505257	0.001551
34.284431	0.001558
35.063606	0.001412
35.842781	0.001345
36.622017	0.001337
37.401192	0.001237
38.180367	0.001164
38.959602	0.001156
39.738777	0.001082
40.517952	0.001021
41.297127	0.001021
42.076363	0.000929
42.855537	0.000903
43.634712	0.000908
44.413887	0.000835
45.193123	0.000787
45.972298	0.000801
46.751472	0.000735
47.530708	0.000699
48.309883	0.000709
49.089058	0.000653
49.868233	0.000644
50.647469	0.000634
51.426643	0.000595
52.205818	0.000554
52.985054	0.000561
53.764229	0.000524
54.543404	0.000513
55.322578	0.000499
56.101814	0.000469
56.880989	0.00044
57.660164	0.000421
58.4394	0.000411
59.218575	0.000392
59.997749	0.0004
60.776924	0.000364
61.55616	0.000359
62.335335	0.000352
63.11451	0.000333
63.893684	0.00032
64.67292	0.000311
65.452095	0.000297
66.23127	0.000283
67.010506	0.000278
67.78968	0.000262
68.568855	0.000258
69.34803	0.000268
70.127266	0.000252
70.906441	0.000257
71.685616	0.00025
72.464851	0.000228
73.244026	0.000222
74.023201	0.000228
74.802376	0.000207
75.581612	0.000209
76.360786	0.000215
77.139961	0.000197
77.919136	0.000199
78.698372	0.00019
79.477547	0.000178
80.256721	0.000178
81.035957	0.000177
81.815132	0.000175
82.594307	0.000169
83.373482	0.000158
84.152718	0.000164
84.931892	0.000151
85.711067	0.000153
86.490303	0.000138
87.269478	0.000135
88.048653	0.000138
88.827827	0.000132
89.607063	0.000132
90.386238	0.000129
91.165413	0.000126
91.944649	0.000118
92.723824	0.00012
93.502998	0.000108
94.282173	0.000113
95.061409	0.000115
95.840584	0.000107
96.619759	0.000103
97.398933	0.000101
98.178169	9.7E-05
98.957344	0.000103
99.736519	9.8E-05
