x	klt
-99.75	0.000036
-98.86	0.000037
-97.97	0.000040
-97.08	0.000043
-96.19	0.000043
-95.30	0.000045
-94.41	0.000045
-93.52	0.000044
-92.63	0.000047
-91.74	0.000047
-90.85	0.000048
-89.96	0.000053
-89.07	0.000056
-88.18	0.000055
-87.29	0.000060
-86.40	0.000060
-85.51	0.000061
-84.61	0.000062
-83.72	0.000064
-82.83	0.000066
-81.94	0.000070
-81.05	0.000074
-80.16	0.000076
-79.27	0.000079
-78.38	0.000081
-77.49	0.000080
-76.60	0.000084
-75.71	0.000087
-74.82	0.000089
-73.93	0.000096
-73.04	0.000105
-72.15	0.000105
-71.26	0.000109
-70.37	0.000111
-69.48	0.000114
-68.59	0.000113
-67.70	0.000122
-66.81	0.000129
-65.92	0.000136
-65.03	0.000147
-64.14	0.000153
-63.25	0.000156
-62.36	0.000162
-61.47	0.000166
-60.58	0.000165
-59.69	0.000182
-58.80	0.000193
-57.91	0.000201
-57.02	0.000217
-56.13	0.000225
-55.24	0.000229
-54.35	0.000240
-53.45	0.000249
-52.56	0.000246
-51.67	0.000268
-50.78	0.000290
-49.89	0.000295
-49.00	0.000328
-48.11	0.000349
-47.22	0.000350
-46.33	0.000372
-45.44	0.000387
-44.55	0.000388
-43.66	0.000424
-42.77	0.000465
-41.88	0.000484
-40.99	0.000533
-40.10	0.000567
-39.21	0.000572
-38.32	0.000618
-37.43	0.000642
-36.54	0.000646
-35.65	0.000721
-34.76	0.000779
-33.87	0.000818
-32.98	0.000910
-32.09	0.000972
-31.20	0.001000
-30.31	0.001079
-29.42	0.001131
-28.53	0.001149
-27.64	0.001278
-26.75	0.001402
-25.86	0.001488
-24.97	0.001659
-24.08	0.001808
-23.18	0.001875
-22.29	0.002043
-21.40	0.002187
-20.51	0.002303
-19.62	0.002586
-18.73	0.002923
-17.84	0.003184
-16.95	0.003615
-16.06	0.004040
-15.17	0.004330
-14.28	0.004811
-13.39	0.005450
-12.50	0.006060
-11.61	0.007050
-10.72	0.008427
-9.83	0.009849
-8.94	0.011648
-8.05	0.014002
-7.16	0.016429
-6.27	0.019627
-5.38	0.024912
-4.49	0.032338
-3.60	0.043658
-2.71	0.061014
-1.82	0.081194
-0.93	0.100924
-0.04	0.111616
0.85	0.101442
1.74	0.080016
2.63	0.060697
3.52	0.043882
4.41	0.031465
5.30	0.024525
6.19	0.019467
7.08	0.015683
7.98	0.013572
8.87	0.011392
9.76	0.009330
10.65	0.008094
11.54	0.006847
12.43	0.005729
13.32	0.005245
14.21	0.004705
15.10	0.004144
15.99	0.003906
16.88	0.003531
17.77	0.003070
18.66	0.002846
19.55	0.002548
20.44	0.002242
21.33	0.002157
22.22	0.002032
23.11	0.001846
24.00	0.001796
24.89	0.001675
25.78	0.001488
26.67	0.001410
27.56	0.001299
28.45	0.001164
29.34	0.001149
30.23	0.001105
31.12	0.001018
32.01	0.001003
32.90	0.000939
33.79	0.000845
34.68	0.000810
35.57	0.000748
36.46	0.000676
37.35	0.000672
38.24	0.000653
39.14	0.000607
40.03	0.000602
40.92	0.000564
41.81	0.000513
42.70	0.000495
43.59	0.000461
44.48	0.000419
45.37	0.000414
46.26	0.000409
47.15	0.000381
48.04	0.000379
48.93	0.000360
49.82	0.000329
50.71	0.000313
51.60	0.000296
52.49	0.000277
53.38	0.000278
54.27	0.000274
55.16	0.000254
56.05	0.000254
56.94	0.000241
57.83	0.000225
58.72	0.000213
59.61	0.000204
60.50	0.000190
61.39	0.000188
62.28	0.000184
63.17	0.000176
64.06	0.000175
64.95	0.000168
65.84	0.000157
66.73	0.000148
67.62	0.000141
68.51	0.000135
69.41	0.000131
70.30	0.000133
71.19	0.000127
72.08	0.000124
72.97	0.000122
73.86	0.000115
74.75	0.000107
75.64	0.000102
76.53	0.000098
77.42	0.000094
78.31	0.000097
79.20	0.000093
80.09	0.000089
80.98	0.000087
81.87	0.000083
82.76	0.000077
83.65	0.000077
84.54	0.000073
85.43	0.000070
86.32	0.000072
87.21	0.000070
88.10	0.000067
88.99	0.000066
89.88	0.000064
90.77	0.000057
91.66	0.000056
92.55	0.000054
93.44	0.000053
94.33	0.000054
95.22	0.000052
96.11	0.000051
97.00	0.000050
97.89	0.000049
98.78	0.000045
99.67	0.000043
