x	rdot
-99.73	0.00004
-98.84	0.00004
-97.96	0.00004
-97.08	0.00004
-96.20	0.00004
-95.32	0.00004
-94.43	0.00005
-93.55	0.00005
-92.67	0.00005
-91.79	0.00005
-90.91	0.00005
-90.02	0.00005
-89.14	0.00005
-88.26	0.00006
-87.38	0.00006
-86.50	0.00006
-85.61	0.00006
-84.73	0.00006
-83.85	0.00006
-82.97	0.00007
-82.09	0.00007
-81.20	0.00007
-80.32	0.00007
-79.44	0.00008
-78.56	0.00008
-77.68	0.00008
-76.79	0.00009
-75.91	0.00009
-75.03	0.00009
-74.15	0.00010
-73.27	0.00010
-72.38	0.00010
-71.50	0.00011
-70.62	0.00011
-69.74	0.00011
-68.86	0.00012
-67.97	0.00012
-67.09	0.00013
-66.21	0.00014
-65.33	0.00014
-64.45	0.00015
-63.56	0.00015
-62.68	0.00016
-61.80	0.00017
-60.92	0.00017
-60.04	0.00018
-59.15	0.00019
-58.27	0.00020
-57.39	0.00021
-56.51	0.00022
-55.63	0.00023
-54.74	0.00023
-53.86	0.00024
-52.98	0.00026
-52.10	0.00027
-51.22	0.00028
-50.33	0.00029
-49.45	0.00031
-48.57	0.00033
-47.69	0.00035
-46.81	0.00036
-45.92	0.00038
-45.04	0.00040
-44.16	0.00042
-43.28	0.00044
-42.40	0.00048
-41.51	0.00050
-40.63	0.00053
-39.75	0.00056
-38.87	0.00059
-37.99	0.00062
-37.10	0.00066
-36.22	0.00069
-35.34	0.00075
-34.46	0.00079
-33.58	0.00084
-32.69	0.00090
-31.81	0.00096
-30.93	0.00101
-30.05	0.00107
-29.17	0.00115
-28.28	0.00122
-27.40	0.00131
-26.52	0.00141
-25.64	0.00153
-24.76	0.00164
-23.87	0.00176
-22.99	0.00189
-22.11	0.00205
-21.23	0.00220
-20.35	0.00241
-19.46	0.00263
-18.58	0.00290
-17.70	0.00320
-16.82	0.00355
-15.94	0.00393
-15.05	0.00434
-14.17	0.00484
-13.29	0.00547
-12.41	0.00622
-11.53	0.00718
-10.64	0.00837
-9.76	0.00983
-8.88	0.01158
-8.00	0.01371
-7.12	0.01634
-6.23	0.01983
-5.35	0.02497
-4.47	0.03275
-3.59	0.04449
-2.71	0.06105
-1.82	0.08179
-0.94	0.10215
-0.06	0.11192
0.82	0.10224
1.70	0.08205
2.59	0.06139
3.47	0.04450
4.35	0.03257
5.23	0.02464
6.11	0.01948
7.00	0.01593
7.88	0.01331
8.76	0.01121
9.64	0.00948
10.52	0.00810
11.41	0.00692
12.29	0.00601
13.17	0.00530
14.05	0.00470
14.93	0.00421
15.82	0.00381
16.70	0.00346
17.58	0.00313
18.46	0.00284
19.34	0.00259
20.23	0.00236
21.11	0.00216
21.99	0.00202
22.87	0.00188
23.75	0.00176
24.64	0.00164
25.52	0.00152
26.40	0.00142
27.28	0.00132
28.16	0.00124
29.05	0.00117
29.93	0.00110
30.81	0.00104
31.69	0.00098
32.57	0.00092
33.46	0.00087
34.34	0.00081
35.22	0.00077
36.10	0.00073
36.98	0.00069
37.87	0.00065
38.75	0.00062
39.63	0.00059
40.51	0.00056
41.39	0.00053
42.28	0.00050
43.16	0.00047
44.04	0.00045
44.92	0.00042
45.80	0.00040
46.69	0.00039
47.57	0.00038
48.45	0.00036
49.33	0.00034
50.21	0.00033
51.10	0.00031
51.98	0.00029
52.86	0.00029
53.74	0.00027
54.62	0.00026
55.51	0.00025
56.39	0.00024
57.27	0.00023
58.15	0.00022
59.03	0.00021
59.92	0.00020
60.80	0.00019
61.68	0.00019
62.56	0.00018
63.44	0.00017
64.33	0.00017
65.21	0.00016
66.09	0.00016
66.97	0.00015
67.85	0.00014
68.74	0.00014
69.62	0.00013
70.50	0.00013
71.38	0.00012
72.26	0.00012
73.15	0.00012
74.03	0.00011
74.91	0.00011
75.79	0.00011
76.67	0.00010
77.56	0.00010
78.44	0.00010
79.32	0.00009
80.20	0.00009
81.08	0.00009
81.97	0.00008
82.85	0.00008
83.73	0.00008
84.61	0.00007
85.49	0.00007
86.38	0.00007
87.26	0.00007
88.14	0.00007
89.02	0.00006
89.90	0.00006
90.79	0.00006
91.67	0.00006
92.55	0.00006
93.43	0.00006
94.31	0.00005
95.20	0.00005
96.08	0.00005
96.96	0.00005
97.84	0.00005
98.72	0.00005
99.61	0.00004
