iter	dst	dct	klt_sep	klt_nsep	rdot_sep	rdot_nsep
0	34.95	36.23	34.87	34.49	34.9414	34.9499
1	34.95	36.23	34.87	34.49	34.9246	34.8622
2	34.95	36.23	34.87	34.49	34.9117	34.7930
3	34.95	36.23	34.87	34.49	34.9011	34.7346
4	34.95	36.23	34.87	34.49	34.8921	34.6838
5	34.95	36.23	34.87	34.49	34.8842	34.6386
6	34.95	36.23	34.87	34.49	34.8772	34.5977
7	34.95	36.23	34.87	34.49	34.8709	34.5603
8	34.95	36.23	34.87	34.49	34.8652	34.5259
9	34.95	36.23	34.87	34.49	34.8600	34.4939
10	34.95	36.23	34.87	34.49	34.8552	34.4640
11	34.95	36.23	34.87	34.49	34.8508	34.4358
12	34.95	36.23	34.87	34.49	34.8467	34.4092
13	34.95	36.23	34.87	34.49	34.8429	34.3840
14	34.95	36.23	34.87	34.49	34.8393	34.3600
15	34.95	36.23	34.87	34.49	34.8360	34.3371
16	34.95	36.23	34.87	34.49	34.8328	34.3151
17	34.95	36.23	34.87	34.49	34.8299	34.2941
18	34.95	36.23	34.87	34.49	34.8271	34.2739
19	34.95	36.23	34.87	34.49	34.8245	34.2545
20	34.95	36.23	34.87	34.49	34.8220	34.2358
21	34.95	36.23	34.87	34.49	34.8196	34.2178
22	34.95	36.23	34.87	34.49	34.8173	34.2004
23	34.95	36.23	34.87	34.49	34.8152	34.1836
24	34.95	36.23	34.87	34.49	34.8131	34.1673
25	34.95	36.23	34.87	34.49	34.8111	34.1516
26	34.95	36.23	34.87	34.49	34.8092	34.1364
27	34.95	36.23	34.87	34.49	34.8074	34.1216
28	34.95	36.23	34.87	34.49	34.8056	34.1073
29	34.95	36.23	34.87	34.49	34.8040	34.0934
30	34.95	36.23	34.87	34.49	34.8023	34.0798
31	34.95	36.23	34.87	34.49	34.8008	34.0666
32	34.95	36.23	34.87	34.49	34.7992	34.0537
33	34.95	36.23	34.87	34.49	34.7978	34.0411
34	34.95	36.23	34.87	34.49	34.7963	34.0288
