iter	dct	rdot_sep	rdot_nsep
0	27.04	26.8548	26.9093
1	27.04	26.7619	26.6584
2	27.04	26.7027	26.4920
3	27.04	26.6598	26.3659
4	27.04	26.6265	26.2634
5	27.04	26.5993	26.1766
6	27.04	26.5766	26.1014
7	27.04	26.5572	26.0352
8	27.04	26.5403	25.9763
9	27.04	26.5255	25.9234
10	27.04	26.5123	25.8757
11	27.04	26.5005	25.8322
12	27.04	26.4898	25.7924
13	27.04	26.4802	25.7558
14	27.04	26.4714	25.7218
15	27.04	26.4634	25.6902
16	27.04	26.4560	25.6607
17	27.04	26.4491	25.6329
18	27.04	26.4428	25.6066
19	27.04	26.4369	25.5816
20	27.04	26.4315	25.5578
21	27.04	26.4264	25.5351
22	27.04	26.4216	25.5134
23	27.04	26.4171	25.4926
24	27.04	26.4128	25.4726
25	27.04	26.4088	25.4533
26	27.04	26.4051	25.4347
27	27.04	26.4015	25.4166
28	27.04	26.3981	25.3990
29	27.04	26.3949	25.3819
30	27.04	26.3918	25.3650
31	27.04	26.3889	25.3484
32	27.04	26.3860	25.3321
33	27.04	26.3833	25.3160
34	27.04	26.3807	25.3000
35	27.04	26.3782	25.2842
36	27.04	26.3757	25.2685
37	27.04	26.3733	25.2529
38	27.04	26.3710	25.2376
39	27.04	26.3687	25.2226
40	27.04	26.3664	25.2079
41	27.04	26.3642	25.1934
42	27.04	26.3620	25.1793
43	27.04	26.3598	25.1654
44	27.04	26.3576	25.1517
45	27.04	26.3554	25.1383
46	27.04	26.3532	25.1252
47	27.04	26.3510	25.1124
48	27.04	26.3488	25.1000
49	27.04	26.3465	25.0880
50	27.04	26.3442	25.0764
51	27.04	26.3419	25.0652
52	27.04	26.3395	25.0543
53	27.04	26.3371	25.0438
54	27.04	26.3346	25.0335
55	27.04	26.3321	25.0235
56	27.04	26.3296	25.0136
57	27.04	26.3271	25.0040
58	27.04	26.3245	24.9944
59	27.04	26.3220	24.9850
60	27.04	26.3194	24.9757
61	27.04	26.3167	24.9666
62	27.04	26.3141	24.9575
63	27.04	26.3115	24.9485
64	27.04	26.3088	24.9397
