rom	bdrate	romsym	bdratesym
0.00	-0.00	0.00	0.00
0.05	-0.09	0.05	0.09
0.09	-0.17	0.05	0.17
0.14	-0.22	0.09	0.22
0.19	-0.27	0.14	0.27
0.23	-0.31	0.19	0.31
0.28	-0.35	0.23	0.35
0.33	-0.36	0.28	0.36
0.38	-0.37	0.33	0.37
0.42	-0.40	0.38	0.40
0.47	-0.42	0.38	0.42
0.52	-0.44	0.42	0.44
0.56	-0.45	0.47	0.45
0.61	-0.46	0.52	0.46
0.66	-0.47	0.52	0.47
0.70	-0.47	0.56	0.47
0.75	-0.48	0.61	0.48
0.80	-0.50	0.61	0.50
0.89	-0.50	0.70	0.50
0.94	-0.52	0.75	0.52
1.13	-0.54	0.94	0.54
1.17	-0.56	0.94	0.56
1.22	-0.57	0.98	0.57
1.27	-0.57	1.03	0.57
1.31	-0.58	1.03	0.58
1.36	-0.58	1.03	0.58
1.41	-0.60	1.03	0.60
1.78	-0.61	1.41	0.61
1.83	-0.62	1.41	0.62
1.88	-0.63	1.41	0.63
1.92	-0.63	1.41	0.63
1.97	-0.64	1.45	0.64
2.02	-0.64	1.50	0.64
2.06	-0.65	1.50	0.65
2.11	-0.65	1.50	0.65
2.20	-0.66	1.59	0.66
2.30	-0.67	1.69	0.67
2.34	-0.69	1.69	0.69
2.53	-0.71	1.88	0.71
2.58	-0.72	1.92	0.72
2.67	-0.74	1.92	0.74
2.72	-0.75	1.92	0.75
2.77	-0.75	1.92	0.75
2.81	-0.76	1.92	0.76
2.86	-0.77	1.92	0.77
2.91	-0.78	1.97	0.78
2.95	-0.79	1.97	0.79
3.00	-0.78	1.97	0.78
3.19	-0.80	2.16	0.80
3.23	-0.81	2.20	0.81
3.28	-0.80	2.20	0.80
4.03	-0.81	2.95	0.81
4.08	-0.81	2.95	0.81
4.17	-0.82	3.05	0.82
4.22	-0.82	3.05	0.82
4.27	-0.82	3.05	0.82
4.31	-0.83	3.09	0.83
4.41	-0.84	3.19	0.84
4.59	-0.85	3.19	0.85
4.64	-0.85	3.19	0.85
4.69	-0.84	3.19	0.84
5.06	-0.84	3.56	0.84
5.11	-0.85	3.56	0.85
5.16	-0.86	3.56	0.86
5.20	-0.87	3.56	0.87
5.25	-0.86	3.56	0.86
5.30	-0.87	3.56	0.87
5.39	-0.88	3.66	0.88
5.58	-0.88	3.84	0.88
5.63	-0.87	3.84	0.87
5.67	-0.88	3.84	0.88
5.72	-0.88	3.84	0.88
5.81	-0.89	3.84	0.89
5.91	-0.89	3.94	0.89
5.95	-0.88	3.94	0.88
6.00	-0.88	3.94	0.88
6.19	-0.89	4.13	0.89
6.28	-0.89	4.22	0.89
6.33	-0.89	4.22	0.89
6.70	-0.90	4.59	0.90
6.75	-0.90	4.59	0.90
6.80	-0.90	4.59	0.90
6.84	-0.89	4.59	0.89
6.94	-0.90	4.59	0.90
6.98	-0.89	4.59	0.89
7.08	-0.90	4.69	0.90
7.17	-0.90	4.69	0.90
7.27	-0.91	4.78	0.91
7.31	-0.91	4.78	0.91
7.41	-0.91	4.78	0.91
7.50	-0.92	4.78	0.92
7.55	-0.90	4.78	0.90
7.64	-0.92	4.88	0.92
7.83	-0.93	5.06	0.93
7.88	-0.91	5.06	0.91
7.92	-0.91	5.06	0.91
8.02	-0.92	5.06	0.92
8.11	-0.93	5.06	0.93
8.16	-0.91	5.06	0.91
8.25	-0.92	5.06	0.92
9.00	-0.93	5.81	0.93
9.19	-0.93	5.81	0.93
9.23	-0.91	5.81	0.91
9.33	-0.93	5.81	0.93
9.52	-0.94	5.81	0.94
9.56	-0.92	5.81	0.92
9.66	-0.94	5.81	0.94
9.84	-0.95	6.00	0.95
9.94	-0.94	6.00	0.94
10.03	-0.94	6.00	0.94
10.13	-0.95	6.00	0.95
10.22	-0.94	6.00	0.94
10.31	-0.94	6.00	0.94
10.50	-0.95	6.19	0.95
10.59	-0.94	6.19	0.94
10.78	-0.94	6.38	0.94
10.97	-0.94	6.38	0.94
11.16	-0.95	6.56	0.95
11.25	-0.94	6.56	0.94
11.34	-0.95	6.56	0.95
11.44	-0.94	6.56	0.94
12.19	-0.95	7.31	0.95
12.38	-0.96	7.31	0.96
12.75	-0.96	7.31	0.96
12.84	-0.96	7.31	0.96
13.03	-0.98	7.31	0.98
13.13	-0.95	7.31	0.95
13.22	-0.95	7.31	0.95
13.41	-0.96	7.50	0.96
13.59	-0.97	7.50	0.97
13.69	-0.94	7.50	0.94
13.88	-0.96	7.50	0.96
14.06	-0.95	7.50	0.95
14.25	-0.96	7.50	0.96
14.44	-0.95	7.50	0.95
14.63	-0.95	7.50	0.95
14.81	-0.96	7.50	0.96
15.19	-0.96	7.88	0.96
15.38	-0.96	7.88	0.96
15.56	-0.96	7.88	0.96
15.75	-0.96	7.88	0.96
15.94	-0.96	7.88	0.96
16.31	-0.98	8.25	0.98
16.50	-0.97	8.25	0.97
16.69	-0.95	8.25	0.95
17.06	-0.96	8.63	0.96
17.44	-0.98	9.00	0.98
17.63	-0.96	9.00	0.96
18.00	-0.98	9.38	0.98
18.38	-0.98	9.38	0.98
18.56	-0.97	9.38	0.97
18.75	-0.97	9.38	0.97
19.13	-0.97	9.75	0.97
19.31	-0.94	9.75	0.94
