iter	dst	dct	klt_sep	klt_nsep	rdot_sep	rdot_nsep
0	34.95	36.23	34.87	34.49	34.9414	34.9499
10	34.95	36.23	34.87	34.49	34.8552	34.4640
20	34.95	36.23	34.87	34.49	34.8220	34.2358
30	34.95	36.23	34.87	34.49	34.8023	34.0798
40	34.95	36.23	34.87	34.49	34.7884	33.9604
50	34.95	36.23	34.87	34.49	34.7766	33.8653
60	34.95	36.23	34.87	34.49	34.7654	33.7895
70	34.95	36.23	34.87	34.49	34.7537	33.7281
80	34.95	36.23	34.87	34.49	34.7407	33.6777
90	34.95	36.23	34.87	34.49	34.7257	33.6363
100	34.95	36.23	34.87	34.49	34.7084	33.6022
110	34.95	36.23	34.87	34.49	34.6888	33.5745
120	34.95	36.23	34.87	34.49	34.6670	33.5508
130	34.95	36.23	34.87	34.49	34.6432	33.5289
140	34.95	36.23	34.87	34.49	34.6182	33.5077
150	34.95	36.23	34.87	34.49	34.5934	33.4870
160	34.95	36.23	34.87	34.49	34.5703	33.4669
170	34.95	36.23	34.87	34.49	34.5493	33.4480
180	34.95	36.23	34.87	34.49	34.5305	33.4310
190	34.95	36.23	34.87	34.49	34.5142	33.4172
200	34.95	36.23	34.87	34.49	34.5011	33.4061
210	34.95	36.23	34.87	34.49	34.4908	33.3968
220	34.95	36.23	34.87	34.49	34.4820	33.3886
230	34.95	36.23	34.87	34.49	34.4738	33.3812
240	34.95	36.23	34.87	34.49	34.4658	33.3745
250	34.95	36.23	34.87	34.49	34.4582	33.3685
260	34.95	36.23	34.87	34.49	34.4509	33.3629
270	34.95	36.23	34.87	34.49	34.4440	33.3577
280	34.95	36.23	34.87	34.49	34.4375	33.3528
290	34.95	36.23	34.87	34.49	34.4314	33.3481
300	34.95	36.23	34.87	34.49	34.4258	33.3435
310	34.95	36.23	34.87	34.49	34.4206	33.3390
320	34.95	36.23	34.87	34.49	34.4158	33.3347
330	34.95	36.23	34.87	34.49	34.4115	33.3305
340	34.95	36.23	34.87	34.49	34.4076	33.3265
350	34.95	36.23	34.87	34.49	34.4041	33.3226
360	34.95	36.23	34.87	34.49	34.4009	33.3187
370	34.95	36.23	34.87	34.49	34.3980	33.3150
380	34.95	36.23	34.87	34.49	34.3953	33.3114
390	34.95	36.23	34.87	34.49	34.3928	33.3081
400	34.95	36.23	34.87	34.49	34.3904	33.3050
410	34.95	36.23	34.87	34.49	34.3881	33.3020
420	34.95	36.23	34.87	34.49	34.3860	33.2992
430	34.95	36.23	34.87	34.49	34.3840	33.2966
440	34.95	36.23	34.87	34.49	34.3821	33.2939
450	34.95	36.23	34.87	34.49	34.3802	33.2913
460	34.95	36.23	34.87	34.49	34.3784	33.2886
470	34.95	36.23	34.87	34.49	34.3767	33.2861
480	34.95	36.23	34.87	34.49	34.3749	33.2837
490	34.95	36.23	34.87	34.49	34.3732	33.2816
500	34.95	36.23	34.87	34.49	34.3715	33.2796
510	34.95	36.23	34.87	34.49	34.3698	33.2778
