iter	ipm	tradeoff	ntr	rom	bdrate
001	10	-1.86589	1	0.046875	-0.0874638
002	26	-1.83503	1	0.09375	-0.173481
003	00	-0.948928	1	0.140625	-0.217962
004	00	-1.08527	2	0.1875	-0.268834
005	09	-0.904768	1	0.234375	-0.311245
006	01	-0.763883	1	0.28125	-0.347052
007	13	-0.310016	1	0.328125	-0.361584
008	01	-0.245227	2	0.375	-0.373079
009	12	-0.620032	1	0.421875	-0.402143
010	27	-0.448256	1	0.46875	-0.423155
011	10	-0.434219	2	0.515625	-0.443509
012	32	-0.169707	1	0.5625	-0.451464
013	27	-0.215531	2	0.609375	-0.461567
014	24	-0.190208	1	0.65625	-0.470483
015	31	-0.066304	1	0.703125	-0.473591
016	02	-0.156651	1	0.75	-0.480934
017	11	-0.379563	1	0.796875	-0.498726
018	00	-0.0600853	4	0.890625	-0.504359
019	17	-0.305877	1	0.9375	-0.518697
020	00	-0.130096	8	1.125	-0.54309
021	08	-0.254266	1	1.17188	-0.55501
022	08	-0.34122	2	1.21875	-0.571003
023	14	-0.0443354	1	1.26562	-0.573081
024	05	-0.120584	1	1.3125	-0.578734
025	20	-0.117705	1	1.35938	-0.584252
026	06	-0.24297	1	1.40625	-0.59564
027	00	-0.046832	16	1.78125	-0.613202
028	28	-0.236441	1	1.82812	-0.624284
029	07	-0.175107	1	1.875	-0.632493
030	21	0.0109855	1	1.92188	-0.631978
031	07	-0.219629	2	1.96875	-0.642272
032	32	0.0923619	2	2.01562	-0.637943
033	25	-0.165017	1	2.0625	-0.645679
034	29	-0.0918302	1	2.10938	-0.649984
035	10	-0.0801579	4	2.20312	-0.657498
036	01	-0.179405	4	2.29688	-0.674319
037	26	-0.32699	2	2.34375	-0.689645
038	01	-0.0951413	8	2.53125	-0.707484
039	17	-0.18483	2	2.57812	-0.716147
040	26	-0.225885	4	2.67188	-0.737326
041	03	-0.170834	1	2.71875	-0.745333
042	29	-0.18929	2	2.76562	-0.754205
043	24	-0.168153	2	2.8125	-0.762088
044	28	-0.232359	2	2.85938	-0.772981
045	21	-0.0703008	2	2.90625	-0.776276
046	18	-0.23322	1	2.95312	-0.787207
047	11	0.0840657	2	3	-0.783266
048	26	-0.0832	8	3.1875	-0.798866
049	06	-0.141809	2	3.23438	-0.805514
050	15	0.0145082	1	3.28125	-0.804834
051	00	-0.004316	32	4.03125	-0.808071
052	22	-0.0883081	1	4.07812	-0.81221
053	27	-0.0402197	4	4.17188	-0.815981
054	34	-0.0573928	1	4.21875	-0.818671
055	23	-0.116535	1	4.26562	-0.824133
056	18	-0.168537	2	4.3125	-0.832034
057	32	-0.0391573	4	4.40625	-0.835705
058	10	-0.0547787	8	4.59375	-0.845976
059	23	-0.0653723	2	4.64062	-0.84904
060	03	0.130781	2	4.6875	-0.842909
061	26	-0.004384	16	5.0625	-0.844553
062	14	-0.144113	2	5.10938	-0.851309
063	04	-0.139706	1	5.15625	-0.857857
064	22	-0.1837	2	5.20312	-0.866467
065	20	0.0604949	2	5.25	-0.863631
066	25	-0.0304181	2	5.29688	-0.865057
067	21	-0.128238	4	5.39062	-0.877078
068	21	-0.005072	8	5.57812	-0.878029
069	19	0.0801621	1	5.625	-0.874271
070	34	-0.196352	2	5.67188	-0.883476
071	05	0.0056326	2	5.71875	-0.883212
072	05	-0.0525013	4	5.8125	-0.888134
073	28	-0.0301333	4	5.90625	-0.890959
074	02	0.135225	2	5.95312	-0.884621
075	16	0.00401024	1	6	-0.884433
076	27	-0.0327413	8	6.1875	-0.890572
077	06	-0.0322453	4	6.28125	-0.893595
078	04	0.0922978	2	6.32812	-0.889269
079	21	-0.025136	16	6.70312	-0.898695
080	13	-0.0228456	2	6.75	-0.899766
081	15	0.00964164	2	6.79688	-0.899314
082	19	0.297824	2	6.84375	-0.885355
083	04	-0.122411	4	6.9375	-0.896831
084	33	0.056058	1	6.98438	-0.894203
085	34	-0.0412417	4	7.07812	-0.898069
086	15	-0.0304181	4	7.17188	-0.900921
087	03	-0.10384	4	7.26562	-0.910655
088	33	0.0554181	2	7.3125	-0.908057
089	33	-0.0431253	4	7.40625	-0.9121
