iter	ipm	trade_off	ntr	rom	bdrate
001	00	-1.05165	1	0.1875	-0.197184
002	10	-0.472251	1	0.375	-0.285731
003	26	-0.521573	1	0.5625	-0.383526
004	00	-0.379787	2	0.75	-0.454736
005	26	-0.503083	2	0.9375	-0.549064
006	00	-0.248205	4	1.3125	-0.642141
007	10	-0.332699	2	1.5	-0.704522
008	09	-0.335765	1	1.6875	-0.767478
009	11	-0.271621	1	1.875	-0.818407
010	01	-0.210592	1	2.0625	-0.857893
011	25	-0.154363	1	2.25	-0.886836
012	08	-0.200923	1	2.4375	-0.924509
013	27	-0.245056	1	2.625	-0.970457
014	14	-0.0837227	1	2.8125	-0.986155
015	28	-0.1052	1	3	-1.00588
016	26	-0.0707733	4	3.375	-1.03242
017	24	-0.0938667	1	3.5625	-1.05002
018	13	-0.11104	1	3.75	-1.07084
019	01	-0.133173	2	3.9375	-1.09581
020	01	-0.157787	4	4.3125	-1.15498
021	06	-0.125067	1	4.5	-1.17843
022	04	-0.1072	1	4.6875	-1.19853
023	10	-0.0734667	4	5.0625	-1.22608
024	21	-0.182613	1	5.25	-1.26032
025	27	-0.121653	2	5.4375	-1.28313
026	01	-0.0502267	8	6.1875	-1.3208
027	24	-0.16864	2	6.375	-1.35242
028	25	-0.06064	2	6.5625	-1.36379
029	26	-0.05184	8	7.3125	-1.40267
030	18	-0.14624	1	7.5	-1.43009
031	29	-0.0954667	1	7.6875	-1.44799
032	11	-0.0424533	2	7.875	-1.45595
033	23	-0.0861867	1	8.0625	-1.47211
034	12	-0.0650133	1	8.25	-1.4843
035	12	-0.12912	2	8.4375	-1.50851
036	09	-0.173707	2	8.625	-1.54108
037	22	-0.13152	1	8.8125	-1.56574
038	01	-0.01818	16	10.3125	-1.59301
039	20	-0.124747	1	10.5	-1.6164
040	05	-0.0514133	1	10.6875	-1.62604
041	27	-0.0387467	4	11.0625	-1.64057
042	21	-0.0642667	2	11.25	-1.65262
043	13	-0.0533333	2	11.4375	-1.66262
044	00	-0.0292933	8	12.1875	-1.68459
045	15	-0.11488	1	12.375	-1.70613
046	00	-0.0578533	16	13.875	-1.79291
047	10	-0.03956	8	14.625	-1.82258
048	31	-0.0666133	1	14.8125	-1.83507
049	23	-0.0703467	2	15	-1.84826
050	30	-0.0472	1	15.1875	-1.85711
051	06	-0.04704	2	15.375	-1.86593
052	00	-0.0260767	32	18.375	-1.94416
053	17	-0.120533	1	18.5625	-1.96676
054	18	-0.0768	2	18.75	-1.98116
055	11	-0.0434667	4	19.125	-1.99746
056	10	-0.0151933	16	20.625	-2.02025
057	32	-0.0933333	1	20.8125	-2.03775
058	30	-0.0706667	2	21	-2.051
059	33	-0.0353067	1	21.1875	-2.05762
060	07	-0.0493867	1	21.375	-2.06688
061	16	-0.06336	1	21.5625	-2.07876
062	27	-0.0136133	8	22.3125	-2.08897
063	01	-0.0174867	32	25.3125	-2.14143
064	08	-0.163893	2	25.5	-2.17216
065	00	-0.00656	64	31.5	-2.21152
066	02	-0.0565867	1	31.6875	-2.22213
067	01	-0.00805333	64	37.6875	-2.27045
068	03	-0.0618133	1	37.875	-2.28204
069	32	-0.0794133	2	38.0625	-2.29693
070	08	-0.02216	4	38.4375	-2.30524
071	11	-0.01456	8	39.1875	-2.31616
072	09	-0.0638933	4	39.5625	-2.34012
073	10	-0.00839667	32	42.5625	-2.36531
074	05	-0.05552	2	42.75	-2.37572
075	14	-0.0476267	2	42.9375	-2.38465
076	27	-0.0105867	16	44.4375	-2.40053
077	33	-0.03616	2	44.625	-2.40731
078	08	-0.0254933	8	45.375	-2.42643
079	00	-0.00623667	128	57.375	-2.50127
080	17	-0.138933	2	57.5625	-2.52732
081	09	-0.00564	8	58.3125	-2.53155
082	28	-0.0683733	2	58.5	-2.54437
083	22	-0.01968	2	58.6875	-2.54806
084	26	-0.0181733	16	60.1875	-2.57532
085	20	-0.0185067	2	60.375	-2.57879
086	07	-0.0450667	2	60.5625	-2.58724
087	26	-0.00588	32	63.5625	-2.60488
088	28	-0.0488533	4	63.9375	-2.6232
089	01	-0.00340583	128	75.9375	-2.66407
090	34	-0.04272	1	76.125	-2.67208
091	07	-0.0395733	4	76.5	-2.68692
092	04	-0.0298667	2	76.6875	-2.69252
093	05	-0.018	4	77.0625	-2.69927
094	25	-0.032	4	77.4375	-2.71127
095	15	-0.0334933	2	77.625	-2.71755
096	26	-0.00468	64	83.625	-2.74563
097	34	-0.03328	2	83.8125	-2.75187
098	15	-0.0370133	4	84.1875	-2.76575
099	10	-0.000283333	64	90.1875	-2.76745
100	24	-0.0594933	4	90.5625	-2.78976
101	06	-0.00856	4	90.9375	-2.79297
102	29	-0.0551467	2	91.125	-2.80331
103	12	-0.00674667	4	91.5	-2.80584
104	06	-0.00826667	8	92.25	-2.81204
105	33	-0.0284267	4	92.625	-2.8227
106	20	-0.01824	4	93	-2.82954
107	04	-0.0125867	4	93.375	-2.83426
108	34	-0.0237067	4	93.75	-2.84315
109	31	0.06272	2	93.9375	-2.83139
110	17	-0.0265867	4	94.3125	-2.84136
111	04	-0.000346667	8	95.0625	-2.84162
112	13	-0.00536	4	95.4375	-2.84363
113	34	-0.0205467	8	96.1875	-2.85904
114	03	0.136907	2	96.375	-2.84878
115	15	-0.0132533	8	97.125	-2.85872
116	29	-0.00349333	4	97.5	-2.86003
117	27	-0.000203333	32	100.5	-2.86064
118	02	-0.0374468	2	100.688	-2.86768
119	19	-0.0238503	1	100.875	-2.87214
120	19	-0.0220321	2	101.062	-2.87626
121	02	-0.00736702	4	101.438	-2.87903
122	15	-0.00662667	16	102.938	-2.88897
123	33	-0.00145333	8	103.688	-2.89006
124	32	-0.0301604	4	104.062	-2.90134
125	24	-0.00764	8	104.812	-2.90707
126	16	0.15016	2	105	-2.87884
127	22	-0.0526933	4	105.375	-2.8986
128	34	-0.00326	16	106.875	-2.90349
129	14	-0.0103733	4	107.25	-2.90738
130	09	-0.00826	16	108.75	-2.91977
131	05	-0.00846667	8	109.5	-2.92612
132	18	0.0532267	4	109.875	-2.91358
133	22	-0.0158533	8	110.625	-2.92547
134	32	-0.00132	8	111.375	-2.92646
135	05	-0.00679333	16	112.875	-2.93665
136	11	-0.00307333	16	114.375	-2.94126
137	29	-0.00273333	8	115.125	-2.94331
138	23	0.0136533	4	115.5	-2.93819
139	30	-0.03608	4	115.875	-2.95172
140	24	-0.00456	16	117.375	-2.95856
141	19	0.0170667	4	117.75	-2.95216
